date,code,position,pl_lc,pl_atr,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
2016/07/14,8194,l,-1.0,-2.0,2.347826086956522,3.058547092226356,1,4,0,0,0,0.0006635274895681056,0.3739130434782609,3.9565217391304346
2019/11/01,8194,s,-0.9999999999999987,-1.9999999999999973,2.3130300693909023,1.1037155615468868,12,47,9,0,1,-0.0085728467346853,0.16962220508866616,-0.7555898226676947
2020/07/13,8194,l,2.409448818897638,4.818897637795276,2.204724409448819,7.522419186652764,3,0,3,1,1,0.013503322669745962,-1.5748031496062993,0.6299212598425197
2020/09/16,8194,l,0.8711256117455138,1.7422512234910277,3.2626427406199023,6.0900916185951814,8,27,6,0,1,-0.001264555067194937,-0.5546492659053833,-0.22838499184339314
2015/04/27,6436,l,2.105090311986861,4.210180623973722,3.61247947454844,5.281926811053025,14,0,1,0,0,0.002185809818561721,0.19704433497536947,0.361247947454844
2015/07/30,6436,l,-0.587962962962965,-1.17592592592593,2.2916666666666665,1.5891442050303464,9,21,5,0,1,0.007274819225421416,-0.2546296296296296,-0.787037037037037
2016/02/04,6436,l,1.4740651387213488,2.9481302774426976,2.55729794933655,2.3574198429963116,8,31,1,0,1,-0.006988438886061189,-0.6031363088057901,-1.8094089264173703
2016/04/26,6436,s,-0.999999999999999,-1.999999999999998,2.3629719853836786,1.3877191879831563,15,44,8,0,1,-0.004629772984007269,0.7308160779537151,-0.097442143727162
2016/07/29,6436,s,0.6582278481012658,1.3164556962025316,2.1265822784810124,2.3125332665393405,11,1,2,0,0,-0.007110586738719308,0.0,-0.9367088607594937
2019/01/04,6436,s,-0.9999999999999977,-1.9999999999999953,2.231985940246046,1.6645147239550115,3,2,1,0,1,-0.01796873009282642,0.492091388400703,2.161687170474517
2019/05/07,6436,s,-1.0000000000000042,-2.0000000000000084,2.2573363431151243,1.4424091301428983,1,59,0,0,0,-0.0033393639259741282,-0.22573363431151244,5.665914221218962
2020/02/25,6436,s,0.17028380634390347,0.34056761268780694,3.33889816360601,2.120620526061675,2,0,1,0,1,-0.018701623227521346,0.6176961602671118,-0.5676126878130218
2020/03/13,6436,s,-1.000000000000001,-2.000000000000002,2.706359945872801,1.5941952967916775,1,0,0,0,0,-0.020267645421810664,-0.6359945872801082,-0.7848443843031122
2020/03/23,6436,l,-1.0000000000000018,-2.0000000000000036,2.1852970795568982,2.2364842502122517,5,55,4,0,1,0.0010717200623698764,-0.2920443101711984,0.3625377643504532
2020/09/23,6436,s,-0.7238723872387258,-1.4477447744774516,2.2002200220022,1.4160382617880931,3,57,2,0,1,-0.004897625458577153,0.484048404840484,1.606160616061606
2020/10/06,6436,l,-0.26976744186046514,-0.5395348837209303,2.511627906976744,2.1568679779029116,8,0,0,0,1,0.004629776588507117,-0.22325581395348837,-0.14883720930232558
2021/07/28,6436,s,2.503735325506941,5.007470651013882,2.134471718249733,5.058597326496979,7,23,1,1,1,-0.010555154732426115,1.3660618996798293,3.479188900747065
2015/10/28,4816,l,1.6490156143923977,3.2980312287847955,3.705023761031907,13.75381485249237,11,0,1,0,0,0.0026575008627556748,0.056008146639510425,0.678886625933469
2016/01/13,4816,l,0.19741991592984337,0.39483983185968674,2.439483983185969,2.100342785914615,2,43,1,1,1,0.013366660936549006,-1.1349470937817072,-3.0192781562545297
