date,code,position,pl_lc,pl_atr,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
2021/01/07,8750,l,0.7329842931937173,2.091112770724421,2.852875280059746,4.02611691999552,7,11,0,0,0,0.010515990203999582,2.1807318894697536,2.061239731142644,0.005474304382589097,2.4495892457057504,2.3898431665421955,0
2021/01/15,8750,l,-1.0,-1.12490869247626,1.12490869247626,0.7690994460959623,5,1,4,0,0,0.002760097650519675,0.13148283418553688,0.20452885317750183,-0.008975424177316522,0.8181154127100073,-0.4967129291453616,0
2021/01/28,8750,s,-0.4956521739130435,-0.7681940700808626,1.5498652291105122,2.5040009792246507,4,18,3,0,0,-0.016271576146988227,0.0,-0.18867924528301885,0.0009993159212147783,0.7277628032345013,0.10781671159029649,0
2021/02/05,8750,l,0.6923076923076923,0.7017543859649122,1.01364522417154,1.1638619874069103,5,8,0,0,0,0.010214893470632699,0.15594541910331383,3.1448992852501623,0.005159708935555489,0.7147498375568551,0.4808317089018843,0
2021/02/15,8750,l,0.6615384615384615,1.0756722951844901,1.6260162601626016,1.479301952733019,4,0,3,0,1,0.004821804284339439,-0.15009380863039398,-0.012507817385866166,0.014217995098847382,0.8005003126954346,0.17510944340212634,0
2021/02/17,8750,l,-1.0,-1.4560770156438028,1.4560770156438028,1.258652033771651,2,0,1,0,0,-0.0033126830829319624,0.10830324909747294,1.6004813477737667,-0.002457616569663897,1.3357400722021662,0.33694344163658246,0
2021/02/22,8750,l,-0.5256410256410257,-0.47099368179207357,0.8960367604824814,0.7590682803131176,1,4,0,0,1,0.008790082723919599,-0.5514072372199885,-1.8150488225157957,-0.004152662095821316,0.9075244112578978,-0.4480183802412407,0
2021/02/25,8750,l,-1.3076923076923077,-1.517857142857143,1.1607142857142858,0.5815566129909637,5,2,2,0,1,0.013668579825220654,-0.7142857142857143,-0.15625,0.003025540549391617,0.8370535714285715,-0.3125,0
2021/03/08,8750,l,-1.0,-0.8412197686645637,0.8412197686645637,1.2849163329502575,7,5,1,0,1,0.011913324131661476,-0.08412197686645637,0.6519453207150369,-0.01591813802909385,0.8517350157728707,-0.05257623554153523,0
2021/03/09,8750,l,-1.0625,-0.8722421754746023,0.8209338122113904,0.861400755594304,8,2,0,0,1,0.0001955241665434139,-0.4207285787583376,0.13340174448435094,0.009707164142451503,1.0466906105695228,0.4002052334530528,0
2021/03/30,8750,s,-3.6991150442477876,-4.558342420937841,1.2322791712104688,0.9273242538177132,6,52,1,0,0,-0.0006629340891054052,-0.6543075245365322,1.6139585605234459,0.0023041003860372693,1.1668484187568158,-0.14176663031624864,0
2021/04/01,8750,l,0.01818181818181818,0.08771929824561402,4.824561403508771,3.8279920488509447,20,0,19,0,1,0.009017163145845634,-0.18640350877192982,-2.138157894736842,-0.0018015135566952305,0.6798245614035088,-0.581140350877193,0
2021/04/21,8750,s,-0.32727272727272727,-0.3596403596403597,1.098901098901099,0.9158481550305283,4,40,0,0,0,-0.015120764746027386,-0.5494505494505495,-0.5194805194805195,-0.005296862984275191,0.8991008991008992,-0.7892107892107892,0
2021/05/06,8750,l,1.275,1.2150089338892196,0.9529481834425253,1.3854404027933374,3,15,1,0,1,0.007336366031146666,-0.0357355568790947,1.3222156045265039,0.010589853021687927,0.8933889219773674,-0.10720667063728409,0
2021/05/17,8750,l,-1.0,-1.048141377209019,1.048141377209019,1.3898257253604323,5,4,1,0,1,0.008046795969444962,-0.30469226081657524,0.8531383302864107,-0.017153730458636045,0.9872029250457038,0.2193784277879342,0
2021/05/28,8750,l,-0.22826086956521738,-0.21042084168336672,0.9218436873747495,1.180837805815917,5,0,3,0,0,0.012733541373238599,0.5210420841683366,-0.16032064128256512,0.008192638903396207,0.841683366733467,-0.050100200400801605,0
2021/06/18,8750,s,0.905,2.29404309252218,2.5348542458808616,1.7391658536876133,15,39,7,0,1,0.004080524275518262,0.3168567807351077,1.7490494296577945,-0.005925851691026513,1.1533586818757922,1.4068441064638781,0
2021/06/21,8750,s,0.4961832061068702,0.8024691358024691,1.617283950617284,1.5647824978209817,1,34,0,0,0,-0.01578644997527978,-0.6790123456790124,-1.5925925925925926,-0.017396175795002175,1.0246913580246915,-3.1481481481481484,0
2021/06/22,8750,l,-1.0,-1.2338062924120914,1.2338062924120914,1.0705068782676406,1,32,0,0,1,0.0179265736624953,-0.8389882788402221,-5.293028994447872,0.013013681094319248,1.283158544108575,-2.4552745219000616,0
2021/06/28,8750,l,-1.8160919540229885,-2.0968812209688124,1.1546118115461181,0.741093558784063,4,30,0,0,0,0.001599109342885772,0.45122760451227606,0.05308560053085601,-0.002220339879626232,0.6768414067684141,0.7830126078301262,0
2021/06/29,8750,s,-1.0,-1.36332651670075,1.36332651670075,2.5842073950922146,5,18,1,0,0,-0.004151057455895505,-0.790729379686435,0.845262440354465,-0.003969587353737424,1.7177914110429449,0.3953646898432175,0
2021/07/07,8750,s,0.9173553719008265,1.5448851774530274,1.6840640222686154,1.2398824026711122,9,9,1,0,1,-0.013294948436295992,0.4314544189283229,-0.09742519137091163,0.0036992612092391045,0.9464161447459987,0.570633263743911,0
2021/07/12,8750,l,0.2375,0.5145565335138795,2.166553825321598,0.6904020978372544,3,50,2,0,0,0.01690311026104842,0.7312119160460393,-1.5030467163168586,0.005501765055767305,1.123899796885579,-0.17603249830737983,0
2021/07/20,8750,s,-1.1125,-1.2759856630824373,1.146953405017921,0.889396741098912,4,4,0,0,0,-0.010882827524505792,-0.32974910394265233,-1.2616487455197132,0.001329345783458514,0.7455197132616488,-0.9032258064516129,0
