date,code,position,pl_lc,pl_atr,x1,x2,x3,x4,x5,x6,x7,x8
2015/04/15,8194,l,-0.2795425667090216,-0.2795425667090216,0.8640406607369758,0.7750377453447408,7,2,1,0,0,-0.003523588706031814
2015/06/03,8194,l,1.112158341187559,1.112158341187559,0.942507068803016,1.5753086419753086,3,0,0,0,0,-0.004869740288630794
2015/06/04,8194,l,0.03404255319148936,0.03404255319148936,1.1404255319148937,1.59372026641294,1,0,0,0,0,0.003244680565276804
2015/06/17,8194,l,0.3169811320754717,0.3169811320754717,0.8603773584905661,1.1501364877161055,1,4,0,0,0,0.0023773394530737014
2015/06/23,8194,l,0.37933289731850883,0.37933289731850883,0.7455853499018966,1.3375295043273014,2,2,0,0,1,0.00585220717058158
2015/07/14,8194,l,0.4303599374021909,0.4303599374021909,1.0172143974960877,2.2245762711864407,0,0,0,0,0,0.01321866800864327
2015/07/15,8194,l,-0.5287009063444108,-0.5287009063444108,0.5664652567975831,1.8340041335798978,0,0,0,0,0,0.0045876127587827515
2015/07/22,8194,s,-0.13736263736263737,-0.13736263736263737,0.5837912087912088,0.5523884411244349,1,59,0,1,1,-0.008836496741910763
2015/07/28,8194,s,-0.9999999999999989,-0.9999999999999989,1.0529674537332483,1.206436963175042,1,58,0,0,0,-0.007937553132416984
2015/07/29,8194,l,-0.21046301864101022,-0.21046301864101022,0.5411906193625977,0.5576997298340409,2,2,0,0,0,0.004761696285434142
2015/08/21,8194,s,0.988835725677831,0.988835725677831,0.6698564593301436,1.907596371882086,2,35,1,0,0,-0.016082046490082637
2015/08/24,8194,s,0.6918238993710691,0.6918238993710691,0.44025157232704404,1.4086036097163794,1,32,0,0,0,-0.01856262377269211
2015/08/25,8194,s,-1.0,-1.0,1.1801242236024845,2.37778958554729,0,29,0,0,0,-0.01990326136905445
2015/08/27,8194,l,0.351288056206089,0.351288056206089,0.7611241217798594,1.6412776412776413,1,31,0,0,0,0.016522980296384056
2015/08/28,8194,l,-0.2607939727615184,-0.2607939727615184,1.506809620399884,1.7133364973896534,3,26,0,0,0,0.01799731243579892
2015/09/02,8194,s,-1.0000000000000009,-1.0000000000000009,0.5846243788365975,1.435240473347085,2,29,0,0,0,-0.016728238784213395
2015/09/07,8194,s,-0.7934408886537953,-0.7934408886537953,0.5289605924358635,1.2365320712919141,2,37,0,0,1,-0.006595039612953129
2015/09/09,8194,l,1.0523739598629467,1.0523739598629467,0.5873715124816447,1.4405231272237715,3,33,0,0,1,0.018996297715968436
2015/09/15,8194,s,0.8752244165170556,0.8752244165170556,0.6283662477558348,3.7755271459405613,2,41,1,0,0,0.006513522991032937
2015/09/16,8194,s,1.0825727021863722,1.0825727021863722,0.38208448312460197,3.261651272650356,5,24,0,0,0,0.01174217040709012
2015/09/24,8194,s,-0.44529262086513993,-0.44529262086513993,0.2968617472434266,0.7575198862139809,3,16,1,0,0,-0.014764631955024279
2015/09/28,8194,s,-0.6864988558352403,-0.6864988558352403,0.32036613272311215,0.5381787179623808,1,19,0,0,1,-0.0038807617903515853
2015/10/27,8194,s,-0.570264765784114,-0.570264765784114,0.570264765784114,0.8898113888638209,5,1,4,0,0,0.0007410097154607599
2016/01/14,8194,s,0.15947467166979362,0.15947467166979362,0.853658536585366,1.1865807304577756,2,1,2,0,1,-0.01866713179265997
2016/01/18,8194,s,-0.7129629629629629,-0.7129629629629629,0.6481481481481481,0.6188271604938271,3,2,0,0,1,-0.018672534322110274
2016/01/22,8194,l,1.1439114391143912,1.1439114391143912,0.46125461254612543,0.9786223277909739,0,60,0,0,1,0.019944734617531282
2016/01/26,8194,s,0.7177242888402626,0.7177242888402626,0.6739606126914661,0.7206928549334983,1,11,0,0,1,-0.01623408690712527
2016/02/09,8194,s,0.45605306799336653,0.45605306799336653,0.8291873963515755,0.6948986265533028,9,7,1,0,1,-0.019848508906570597
2016/02/12,8194,s,0.332541567695962,0.332541567695962,0.39588281868566905,0.8830775061588023,0,1,0,0,0,-0.018272314249184865
2016/02/15,8194,l,0.6208251473477406,0.6208251473477406,0.5108055009823183,0.9473888565327121,0,60,0,0,1,0.019780493171426165
2016/02/18,8194,l,0.0473746545598105,0.0473746545598105,0.3947887879984208,0.6701836654943337,2,56,1,0,0,0.01905235799135656
2016/03/14,8194,l,0.516406670252824,0.516406670252824,0.5809575040344271,1.4083875308365104,3,39,0,0,1,0.012790109375655015
2016/03/15,8194,l,0.12987012987012986,0.12987012987012986,0.9632034632034632,1.7575623758003975,1,20,0,0,0,-0.0008042358743744444
2016/04/14,8194,l,0.44082414949688553,0.44082414949688553,0.6420699568758984,1.6931701178354879,6,7,0,0,0,0.015176525313743567
2016/04/18,8194,s,0.009523809523809525,0.009523809523809525,0.8285714285714286,0.8199374258280289,3,56,1,0,1,-0.019395739442534164
2016/05/02,8194,s,-0.2788104089219331,-0.2788104089219331,0.929368029739777,1.1409657320872275,4,55,3,0,1,-0.018537685894378028
2016/05/16,8194,s,0.0,0.0,0.7023230686115614,1.3711001642036125,2,58,0,0,0,-0.0012362747003603338
2016/06/24,8194,l,-1.0000000000000024,-1.0000000000000024,0.7527579493835173,1.3930348258706469,3,31,1,0,0,0.005882371053709302
2016/07/13,8194,l,0.40681173131504256,0.40681173131504256,2.8382213812677386,5.519542421353671,16,27,0,0,1,0.015367506127431969
2016/07/14,8194,l,-1.0,-1.0,2.347826086956522,3.058547092226356,1,4,0,0,0,0.0006635274895681056
2016/07/15,8194,l,-1.0000000000000016,-1.0000000000000016,0.7623888182973316,1.5206025697828978,1,7,1,1,1,0.0006243176293750027
