date,code,position,pl_lc,pl_atr,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
2016/12/16,5218_5year,l,1.0285714285714285,1.967213114754098,1.9125683060109289,13.976570545829043,3,0,1,0,0,0.008540095123999926,0.6010928961748634,1.1475409836065573
2017/02/16,5218_5year,s,-1.0,-0.8686210640608035,0.8686210640608035,4.376406891376951,0,60,0,1,1,-0.000327708949180881,2.5407166123778504,4.90770901194354
2017/02/27,5218_5year,l,0.43103448275862066,0.3728560775540641,0.8650260999254288,4.988602345445058,2,0,0,0,0,-0.007935783575007621,1.7449664429530203,1.6853094705443699
2017/03/08,5218_5year,l,0.5714285714285714,0.1951219512195122,0.34146341463414637,1.1740126302830864,4,10,0,0,1,-0.001841383570743745,-0.36585365853658536,-1.8414634146341464
2017/03/21,5218_5year,l,2.380952380952381,1.4440433212996389,0.6064981949458483,2.1944139564438796,3,13,3,0,1,-0.005380709255752266,-0.1588447653429603,-0.1588447653429603
2017/03/22,5218_5year,s,-1.0,-0.43805612594113624,0.43805612594113624,0.9982820511106506,0,60,0,1,1,-0.01589545165780227,1.3689253935660508,2.5735797399041753
2017/04/07,5218_5year,l,-1.0,-0.4497991967871486,0.4497991967871486,0.7441783179433618,0,36,0,0,1,0.006340787199697062,-0.5301204819277109,-1.5582329317269077
2017/04/18,5218_5year,l,-0.6666666666666666,-0.274442538593482,0.411663807890223,0.3939430910840891,1,43,0,0,1,0.00774273968333887,-0.137221269296741,-0.03430531732418525
2017/04/20,5218_5year,l,0.9545454545454546,0.40737148399612033,0.42677012609117365,1.5290876917744496,1,45,0,0,0,0.0007698484174433161,0.05819592628516004,-0.11639185257032009
2017/04/21,5218_5year,l,2.533333333333333,1.4685990338164252,0.5797101449275363,4.199248792702558,1,41,0,0,0,0.008753429778589615,0.4057971014492754,0.4057971014492754
2017/04/26,5218_5year,l,1.5,0.5908683974932856,0.39391226499552373,1.828405430280718,2,38,0,0,0,0.005534261423225894,0.35810205908683973,0.6445837063563116
2017/05/08,5218_5year,l,0.9393939393939394,0.5944391179290509,0.6327900287631831,0.6819796353303339,3,42,1,0,1,0.013540782795167964,-0.07670182166826463,-0.7670182166826462
2017/05/15,5218_5year,s,0.36666666666666664,0.23012552301255232,0.6276150627615064,0.4678249987967464,5,20,0,0,0,-0.006560081271782816,-0.1673640167364017,-0.1673640167364017
2017/05/18,5218_5year,s,0.0,0.0,0.6479481641468683,0.6387994974960849,4,20,0,0,1,-0.013014966530203535,0.4103671706263499,0.4319654427645789
2017/06/01,5218_5year,l,0.20689655172413793,0.37441497659906403,1.809672386895476,6.537832900682627,12,21,0,0,0,0.0021164780461839093,0.842433697347894,0.187207488299532
2017/06/13,5218_5year,l,0.48,0.365296803652968,0.76103500761035,2.3885694196820935,5,16,2,0,0,-0.0024496975675814365,0.426179604261796,0.243531202435312
2017/06/15,5218_5year,l,-0.8076923076923077,-0.6422018348623854,0.7951070336391437,4.730855735246867,3,10,1,0,0,-0.0034189117419853006,0.1529051987767584,2.324159021406728
2017/06/16,5218_5year,l,1.2033898305084745,2.0402298850574714,1.6954022988505748,5.18721363115693,2,10,1,0,1,0.005008617464257025,-0.6034482758620691,1.2068965517241381
2017/06/21,5218_5year,l,-0.4883720930232558,-0.5343511450381679,1.0941475826972011,0.9768658658521552,1,5,0,0,1,-0.0018907179834714175,-0.4834605597964377,0.33078880407124683
2017/06/30,5218_5year,s,-0.8666666666666667,-0.5514316012725345,0.6362672322375398,0.51165448731199,2,51,1,0,0,-0.00962745359861121,-0.2757158006362672,-1.230116648992577
2017/07/18,5218_5year,l,0.3076923076923077,0.2507836990595611,0.8150470219435736,1.4426665681238684,2,8,0,0,0,-0.002209369715779161,0.438871473354232,0.45977011494252873
2017/07/25,5218_5year,l,2.257142857142857,1.8265895953757225,0.8092485549132948,6.023509618577469,3,4,0,0,1,0.00019473689743588357,-0.3468208092485549,-0.13872832369942195
2017/08/07,5218_5year,l,-0.06666666666666667,-0.030534351145038167,0.4580152671755725,0.6360828748491604,3,5,1,0,0,0.005360777412963755,0.24427480916030533,0.6717557251908397
2017/08/14,5218_5year,s,-1.0,-0.43478260869565216,0.43478260869565216,0.44396434271478064,2,50,0,0,0,-0.009334132127438062,-0.5652173913043478,-1.0
2017/08/18,5218_5year,s,-1.0,-0.5899705014749262,0.5899705014749262,0.801761212369445,2,58,0,0,1,-0.011742594770342871,0.5014749262536874,1.1651917404129795
2017/08/23,5218_5year,l,-1.0,-0.6442769019876627,0.6442769019876627,0.833300739234169,1,2,0,0,0,0.00841990028807497,1.0692254969156956,0.7265250171350239
2017/09/06,5218_5year,s,-1.0,-0.8057296329453895,0.8057296329453895,0.9251350111185627,3,37,0,0,0,-0.005145516230686259,-0.9131602506714414,-1.7726051924798567
2017/09/07,5218_5year,l,0.8571428571428571,0.9318377911993097,1.087144089732528,4.852104264736879,7,14,2,0,0,0.0038986525963206637,1.173425366695427,-0.7420189818809318
2017/09/11,5218_5year,l,-1.0,-0.6075949367088608,0.6075949367088608,3.6404051069032106,2,1,1,0,0,0.008641844644982402,0.23628691983122363,3.476793248945148
2017/09/14,5218_5year,l,-1.0,-0.8150943396226416,0.8150943396226416,1.7925223364844811,1,1,1,0,1,-0.000274340550755052,-0.8301886792452831,1.3433962264150943
2017/09/15,5218_5year,l,0.7857142857142857,2.507122507122507,3.190883190883191,12.066195626430883,4,0,3,1,1,-0.0006886301309002789,-1.4102564102564101,-0.2706552706552706
