date,code,position,pl_lc,pl_atr,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
2016/12/16,5218_5year,l,1.4285714285714286,2.73224043715847,1.9125683060109289,13.976570545829043,3,0,1,0,0,0.008540095123999926,0.6010928961748634,1.1475409836065573,-0.001915796524300519
2017/02/16,5218_5year,s,-1.0,-0.8686210640608035,0.8686210640608035,4.376406891376951,0,60,0,1,1,-0.000327708949180881,2.5407166123778504,4.90770901194354,-0.00432697033338986
2017/02/27,5218_5year,l,0.3793103448275862,0.32811334824757643,0.8650260999254288,4.988602345445058,2,0,0,0,0,-0.007935783575007621,1.7449664429530203,1.6853094705443699,-0.0012043589010432673
2017/03/08,5218_5year,l,1.9285714285714286,0.6585365853658537,0.34146341463414637,1.1740126302830864,4,10,0,0,1,-0.001841383570743745,-0.36585365853658536,-1.8414634146341464,-0.0028225867013180186
2017/03/21,5218_5year,l,1.5238095238095237,0.9241877256317689,0.6064981949458483,2.1944139564438796,3,13,3,0,1,-0.005380709255752266,-0.1588447653429603,-0.1588447653429603,0.0020255915700781936
2017/03/22,5218_5year,s,-1.0,-0.43805612594113624,0.43805612594113624,0.9982820511106506,0,60,0,1,1,-0.01589545165780227,1.3689253935660508,2.5735797399041753,-0.005496531502688097
2017/04/07,5218_5year,l,-1.0,-0.4497991967871486,0.4497991967871486,0.7441783179433618,0,36,0,0,1,0.006340787199697062,-0.5301204819277109,-1.5582329317269077,-0.0026903582050313997
2017/04/18,5218_5year,l,-1.0416666666666667,-0.42881646655231564,0.411663807890223,0.3939430910840891,1,43,0,0,1,0.00774273968333887,-0.137221269296741,-0.03430531732418525,-0.004259522159354507
2017/04/20,5218_5year,l,2.9545454545454546,1.2609117361784676,0.42677012609117365,1.5290876917744496,1,45,0,0,0,0.0007698484174433161,0.05819592628516004,-0.11639185257032009,-0.0008619572718563262
2017/04/21,5218_5year,l,1.2,0.6956521739130435,0.5797101449275363,4.199248792702558,1,41,0,0,0,0.008753429778589615,0.4057971014492754,0.4057971014492754,0.0015560606761468373
2017/04/26,5218_5year,l,-1.0,-0.39391226499552373,0.39391226499552373,1.828405430280718,2,38,0,0,0,0.005534261423225894,0.35810205908683973,0.6445837063563116,0.0054475077300297345
2017/05/08,5218_5year,l,1.2727272727272727,0.8053691275167785,0.6327900287631831,0.6819796353303339,3,42,1,0,1,0.013540782795167964,-0.07670182166826463,-0.7670182166826462,0.00947231748322226
2017/05/15,5218_5year,s,-1.0,-0.6276150627615064,0.6276150627615064,0.4678249987967464,5,20,0,0,0,-0.006560081271782816,-0.1673640167364017,-0.1673640167364017,0.005892132315047562
2017/05/18,5218_5year,s,-1.0,-0.6479481641468683,0.6479481641468683,0.6387994974960849,4,20,0,0,1,-0.013014966530203535,0.4103671706263499,0.4319654427645789,-0.00016004507851162262
2017/06/01,5218_5year,l,-0.10344827586206896,-0.18720748829953202,1.809672386895476,6.537832900682627,12,21,0,0,0,0.0021164780461839093,0.842433697347894,0.187207488299532,0.008524712372842745
2017/06/13,5218_5year,l,1.68,1.278538812785388,0.76103500761035,2.3885694196820935,5,16,2,0,0,-0.0024496975675814365,0.426179604261796,0.243531202435312,0.0019607438339036823
2017/06/15,5218_5year,l,2.5384615384615383,2.018348623853211,0.7951070336391437,4.730855735246867,3,10,1,0,0,-0.0034189117419853006,0.1529051987767584,2.324159021406728,0.0008215774084379651
2017/06/16,5218_5year,l,0.22033898305084745,0.3735632183908046,1.6954022988505748,5.18721363115693,2,10,1,0,1,0.005008617464257025,-0.6034482758620691,1.2068965517241381,0.0006075916342005827
2017/06/21,5218_5year,l,-0.09302325581395349,-0.10178117048346057,1.0941475826972011,0.9768658658521552,1,5,0,0,1,-0.0018907179834714175,-0.4834605597964377,0.33078880407124683,-0.002643105046711148
2017/06/30,5218_5year,s,-1.0,-0.6362672322375398,0.6362672322375398,0.51165448731199,2,51,1,0,0,-0.00962745359861121,-0.2757158006362672,-1.230116648992577,0.00038950085465472355
2017/07/18,5218_5year,l,0.3076923076923077,0.2507836990595611,0.8150470219435736,1.4426665681238684,2,8,0,0,0,-0.002209369715779161,0.438871473354232,0.45977011494252873,-0.0037111925082729705
2017/07/25,5218_5year,l,3.8857142857142857,3.1445086705202314,0.8092485549132948,6.023509618577469,3,4,0,0,1,0.00019473689743588357,-0.3468208092485549,-0.13872832369942195,-0.0012192460694830406
2017/08/07,5218_5year,l,-1.0,-0.4580152671755725,0.4580152671755725,0.6360828748491604,3,5,1,0,0,0.005360777412963755,0.24427480916030533,0.6717557251908397,-0.00016949752458843035
2017/08/14,5218_5year,s,-1.0,-0.43478260869565216,0.43478260869565216,0.44396434271478064,2,50,0,0,0,-0.009334132127438062,-0.5652173913043478,-1.0,-0.00043385768035551775
2017/08/18,5218_5year,s,-1.0,-0.5899705014749262,0.5899705014749262,0.801761212369445,2,58,0,0,1,-0.011742594770342871,0.5014749262536874,1.1651917404129795,-4.4167637755553804e-05
2017/08/23,5218_5year,l,-1.0,-0.6442769019876627,0.6442769019876627,0.833300739234169,1,2,0,0,0,0.00841990028807497,1.0692254969156956,0.7265250171350239,-0.005750739881465483
2017/09/06,5218_5year,s,-1.0,-0.8057296329453895,0.8057296329453895,0.9251350111185627,3,37,0,0,0,-0.005145516230686259,-0.9131602506714414,-1.7726051924798567,0.0037285998280623335
2017/09/07,5218_5year,l,2.492063492063492,2.70923209663503,1.087144089732528,4.852104264736879,7,14,2,0,0,0.0038986525963206637,1.173425366695427,-0.7420189818809318,-0.0018998180455955433
