date,code,position,pl_lc,pl_atr,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
2015/05/07,9843,s,0.48,0.49382716049382713,1.02880658436214,1.3696175069565628,3,57,0,0,1,-0.008968529508289982,0.9053497942386831,0.6995884773662552
2015/06/12,9843,l,0.3684210526315789,0.33175355450236965,0.9004739336492891,1.5155009389516687,2,30,1,0,0,0.0023946461187941536,0.23696682464454977,-0.9478672985781991
2015/06/30,9843,l,-0.05405405405405406,-0.1149425287356322,2.1264367816091956,2.0580793619391717,5,0,4,0,1,0.0032153237576423538,-0.28735632183908044,0.3448275862068966
2015/07/09,9843,s,-1.0,-1.5751789976133652,1.5751789976133652,1.3793846123723654,3,53,0,0,0,-0.015952261769897544,-1.909307875894988,-1.1933174224343674
2015/07/14,9843,l,0.0,0.0,0.967741935483871,0.5986923761031244,5,5,2,0,0,0.01321866800864327,0.4838709677419355,1.4112903225806452
2015/08/21,9843,s,-0.3,-0.2727272727272727,0.9090909090909091,1.1810752578502492,0,27,0,0,0,-0.016082046490082637,-0.21212121212121213,-1.9393939393939394
2015/08/24,9843,s,0.6666666666666666,0.8370702541106129,1.2556053811659194,1.5180873701339341,1,23,0,0,1,-0.01856262377269211,0.26905829596412556,-1.7937219730941705
2015/08/25,9843,s,-1.0,-1.3024602026049203,1.3024602026049203,1.7593147751605995,0,2,0,0,0,-0.01990326136905445,-0.8104196816208393,-2.8364688856729376
2015/08/27,9843,l,1.75,0.9536784741144415,0.5449591280653951,1.6668829406976606,1,50,0,0,0,0.016522980296384056,0.21798365122615804,-1.11716621253406
2015/08/28,9843,l,-1.0,-0.6784260515603799,0.6784260515603799,1.3893562587871944,2,38,0,0,0,0.01799731243579892,0.9497964721845319,2.360922659430122
2015/09/02,9843,s,-1.0,-0.521978021978022,0.521978021978022,0.9124031518184412,0,10,0,0,0,-0.016728238784213395,-0.9340659340659341,-1.8956043956043955
2015/09/04,9843,l,-1.0,-0.6557377049180327,0.6557377049180327,1.2850482349655157,4,43,2,0,1,0.007135475589292805,-0.0546448087431694,-0.4644808743169399
2015/09/09,9843,l,1.25,1.153846153846154,0.9230769230769231,1.1034354573897958,1,56,0,0,1,0.018996297715968436,-0.8717948717948718,-1.8205128205128205
2015/09/10,9843,s,-0.4074074074074074,-0.27742749054224464,0.6809583858764187,0.9076611067422706,2,20,0,1,1,-0.018745894490879524,1.1349306431273645,1.008827238335435
2015/09/29,9843,s,0.8205128205128205,0.8290155440414507,1.0103626943005182,1.6523325514725045,12,10,1,0,0,-0.016193154930742828,-0.15544041450777202,1.1139896373056994
2015/09/30,9843,l,0.1,0.05154639175257732,0.5154639175257731,0.9857438651066486,0,60,0,0,1,0.01553378332085118,-0.8247422680412371,-1.6494845360824741
2015/10/23,9843,l,-1.0,-0.851063829787234,0.851063829787234,1.3998225826891395,4,56,1,0,1,0.017725228047279704,-0.5673758865248227,-1.3475177304964538
2015/11/04,9843,l,-0.08333333333333333,-0.08196721311475409,0.9836065573770492,1.4904007347045876,12,42,3,0,1,0.013813449915539172,-0.20491803278688525,-0.7786885245901639
2015/12/17,9843,l,0.2,0.2777777777777778,1.3888888888888888,1.1248737894452423,10,5,1,0,1,0.01651766333804201,-0.046296296296296294,0.6481481481481481
2015/12/24,9843,l,-1.0,-1.3793103448275863,1.3793103448275863,0.994192316187457,12,7,1,0,1,0.009779898023476792,-0.36511156186612576,-1.1764705882352942
2016/01/12,9843,s,0.8571428571428571,0.5960264900662251,0.695364238410596,2.0478569408723053,2,7,1,0,1,-0.012828032157378525,0.5629139072847682,-1.3576158940397351
2016/01/14,9843,s,-0.18518518518518517,-0.16583747927031509,0.8955223880597015,0.9170617321710761,3,4,0,0,1,-0.01866713179265997,0.46434494195688225,0.29850746268656714
2016/01/18,9843,s,-1.0,-0.7947019867549668,0.7947019867549668,1.069069527700355,4,3,0,0,1,-0.018672534322110274,0.06622516556291391,0.2980132450331126
2016/01/22,9843,l,0.7692307692307693,0.6600660066006601,0.858085808580858,0.9530829055050068,0,60,0,0,1,0.019944734617531282,-0.9240924092409241,-2.1782178217821784
2016/01/25,9843,l,0.8947368421052632,0.5676126878130218,0.6343906510851419,1.3281259971155441,1,58,0,0,0,0.011043410012542507,0.667779632721202,-0.5676126878130217
2016/01/27,9843,l,-0.21739130434782608,-0.16806722689075632,0.773109243697479,0.8541476113417295,4,54,0,0,1,0.01438095865077876,-0.33613445378151263,1.1428571428571428
2016/02/01,9843,l,0.2608695652173913,0.2,0.7666666666666667,0.9486003991154738,3,39,0,0,0,0.01034917771701588,0.7,0.9333333333333333
2016/02/02,9843,s,-1.0,-1.0067114093959733,1.0067114093959733,0.6872047908232118,3,21,0,0,1,-0.008323990231303998,0.20134228187919462,2.315436241610738
2016/02/05,9843,s,0.23529411764705882,0.26143790849673204,1.1111111111111112,1.4217470906374292,5,11,0,0,0,-0.014928726857569453,-0.8823529411764706,-0.16339869281045752
2016/02/08,9843,s,-1.0,-0.8389261744966443,0.8389261744966443,1.2700320512820513,7,3,0,0,0,-0.011812416354976565,-0.2684563758389262,-2.0805369127516777
2016/02/09,9843,s,1.2333333333333334,1.2353923205342237,1.001669449081803,1.4294670846394983,7,4,1,0,1,-0.019848508906570597,0.8013355592654424,-2.337228714524207
2016/02/12,9843,s,-1.0,-1.1603053435114503,1.1603053435114503,2.1656313076877853,1,0,0,0,0,-0.018272314249184865,-1.465648854961832,-2.564885496183206
