date,code,position,pl_lc,pl_atr,x1,x2,x3,x4,x5,x6,x7,x8
2016/12/16,5218_5year,l,2.7868852459016393,2.7868852459016393,1.9125683060109289,13.976570545829043,3,0,1,0,0,0.008540095123999926
2017/02/16,5218_5year,s,-0.9999999999999991,-0.9999999999999991,0.8686210640608035,4.376406891376951,0,60,0,1,1,-0.000327708949180881
2017/02/27,5218_5year,l,0.16405667412378822,0.16405667412378822,0.8650260999254288,4.988602345445058,2,0,0,0,0,-0.007935783575007621
2017/03/08,5218_5year,l,0.7439024390243902,0.7439024390243902,0.34146341463414637,1.1740126302830864,4,10,0,0,1,-0.001841383570743745
2017/03/21,5218_5year,l,0.851985559566787,0.851985559566787,0.6064981949458483,2.1944139564438796,3,13,3,0,1,-0.005380709255752266
2017/03/22,5218_5year,s,0.05475701574264203,0.05475701574264203,0.43805612594113624,0.9982820511106506,0,60,0,1,1,-0.01589545165780227
2017/04/07,5218_5year,l,-1.0,-1.0,0.4497991967871486,0.7441783179433618,0,36,0,0,1,0.006340787199697062
2017/04/18,5218_5year,l,-0.37735849056603776,-0.37735849056603776,0.411663807890223,0.3939430910840891,1,43,0,0,1,0.00774273968333887
2017/04/20,5218_5year,l,2.463627546071775,2.463627546071775,0.42677012609117365,1.5290876917744496,1,45,0,0,0,0.0007698484174433161
2017/04/21,5218_5year,l,0.27053140096618356,0.27053140096618356,0.5797101449275363,4.199248792702558,1,41,0,0,0,0.008753429778589615
2017/04/26,5218_5year,l,0.23276633840644584,0.23276633840644584,0.39391226499552373,1.828405430280718,2,38,0,0,0,0.005534261423225894
2017/05/08,5218_5year,l,0.8245445829338447,0.8245445829338447,0.6327900287631831,0.6819796353303339,3,42,1,0,1,0.013540782795167964
2017/05/15,5218_5year,s,-0.020920502092050212,-0.020920502092050212,0.6276150627615064,0.4678249987967464,5,20,0,0,0,-0.006560081271782816
2017/05/18,5218_5year,s,0.06479481641468683,0.06479481641468683,0.6479481641468683,0.6387994974960849,4,20,0,0,1,-0.013014966530203535
2017/06/01,5218_5year,l,0.0,0.0,1.809672386895476,6.537832900682627,12,21,0,0,0,0.0021164780461839093
2017/06/13,5218_5year,l,1.126331811263318,1.126331811263318,0.76103500761035,2.3885694196820935,5,16,2,0,0,-0.0024496975675814365
2017/06/15,5218_5year,l,3.333333333333333,3.333333333333333,0.7951070336391437,4.730855735246867,3,10,1,0,0,-0.0034189117419853006
2017/06/16,5218_5year,l,0.8045977011494253,0.8045977011494253,1.6954022988505748,5.18721363115693,2,10,1,0,1,0.005008617464257025
2017/06/21,5218_5year,l,-0.9999999999999989,-0.9999999999999989,1.0941475826972011,0.9768658658521552,1,5,0,0,1,-0.0018907179834714175
2017/06/30,5218_5year,s,-0.4241781548250265,-0.4241781548250265,0.6362672322375398,0.51165448731199,2,51,1,0,0,-0.00962745359861121
2017/07/18,5218_5year,l,0.3343782654127482,0.3343782654127482,0.8150470219435736,1.4426665681238684,2,8,0,0,0,-0.002209369715779161
