date,code,position,pl_lc,pl_atr,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
2015/04/15,8194,l,-0.3235294117647059,-0.2795425667090216,0.8640406607369758,0.7750377453447408,7,2,1,0,0,-0.003523588706031814,0.7369758576874206,-0.7369758576874206,0.0015742093794247642,1.207115628970775,0.4701397712833545,0,1,0.8870694522868456,0.030369811904347732,2132.0,1,2.7337992376111826
2015/06/03,8194,l,1.18,1.1121583411875589,0.942507068803016,1.5753086419753086,3,0,0,0,0,-0.004869740288630794,0.9236569274269557,-0.15080113100848258,0.0014850940290511464,1.5080113100848258,0.49010367577756836,0,1,2.3465991316931945,0.05938799055066191,2314.0,1,1.8803016022620171
2015/06/04,8194,l,0.029850746268656716,0.03404255319148936,1.1404255319148937,1.59372026641294,1,0,0,0,0,0.003244680565276804,1.004255319148936,2.7574468085106383,-0.0025194815564212945,2.5361702127659576,1.8553191489361702,0,1,3.888965995836222,0.10194466173073068,2423.0,1,1.8246808510638266
2015/06/17,8194,l,0.3684210526315789,0.3169811320754717,0.8603773584905661,1.1501364877161055,1,4,0,0,0,0.0023773394530737014,0.06037735849056604,-2.0679245283018868,-0.00427605497855315,1.1773584905660377,0.06037735849056604,0,1,3.5234613040828795,0.09751572698294918,2603.0,1,3.0807547169811307
2015/06/23,8194,l,0.5087719298245614,0.37933289731850883,0.7455853499018966,1.3375295043273014,2,2,0,0,1,0.00585220717058158,-0.5101373446697187,0.6932635709614127,0.012735220515735387,0.9679529103989535,-0.5232177894048398,0,1,4.007799442896939,0.11672697181613159,2753.0,1,3.4126880313930683
2015/07/14,8194,l,0.4230769230769231,0.4303599374021909,1.0172143974960877,2.2245762711864407,0,0,0,0,0,0.01321866800864327,2.5821596244131455,4.225352112676056,0.001473815457671283,3.6384976525821595,2.9733959311424103,0,1,5.060494652406415,0.2159637136458942,3410.0,1,3.069770474700052
2015/07/15,8194,l,-1.0,-0.5664652567975831,0.5664652567975831,1.8340041335798978,0,0,0,0,0,0.0045876127587827515,0.41540785498489424,4.86404833836858,-0.0007578550553374238,1.2839879154078548,1.3972809667673716,0,1,5.98784,0.2629456318592527,3595.0,1,3.159365558912388
2015/07/22,8194,s,-0.23529411764705882,-0.13736263736263737,0.5837912087912088,0.5523884411244349,1,59,0,1,1,-0.008836496741910763,1.1332417582417582,0.3090659340659341,-0.0031043964023274996,1.3392857142857144,1.1332417582417582,0,0,4.588683670477865,0.20946696465612993,3615.0,0,3.2917811355311355
2015/07/28,8194,s,-1.0,-1.0529674537332483,1.0529674537332483,1.206436963175042,1,58,0,0,0,-0.007937553132416984,-0.893426930440332,1.0848755583918317,0.006950467517015802,1.0848755583918317,-0.893426930440332,0,0,3.986471861471862,0.1867640161742151,3745.0,0,3.503297170814721
2015/07/29,8194,l,-1.0,-0.5411906193625977,0.5411906193625977,0.5576997298340409,2,2,0,0,0,0.004761696285434142,1.2928442573662056,-0.27059530968129886,-0.006011057643585056,1.7438364401683704,0.30066145520144316,0,1,3.8195296523517372,0.18693155517746107,3795.0,1,3.446582481459212
2015/08/21,8194,s,1.4761904761904763,0.9888357256778311,0.6698564593301436,1.907596371882086,2,35,1,0,0,-0.016082046490082637,0.0,-1.6267942583732058,-0.013977233409803615,1.244019138755981,-0.3827751196172249,0,1,-1.3011152416356877,-0.05562913907284768,3565.0,0,4.076874003189793
2015/08/24,8194,s,-1.0,-0.44025157232704404,0.44025157232704404,1.4086036097163794,1,32,0,0,0,-0.01856262377269211,-0.9748427672955975,-3.1132075471698113,-0.02801408122128115,1.1949685534591195,-1.6352201257861636,0,1,-2.833333333333334,-0.1227371662154271,3305.0,0,3.733857442348009
2015/08/25,8194,s,-1.0,-1.1801242236024845,1.1801242236024845,2.37778958554729,0,29,0,0,0,-0.01990326136905445,-0.6832298136645962,-2.732919254658385,-0.020084020942500527,1.3043478260869565,-1.1180124223602483,0,1,-3.814545454545455,-0.16764329852972515,3125.0,0,3.4097308488612836
2015/08/27,8194,l,0.46153846153846156,0.351288056206089,0.7611241217798594,1.6412776412776413,1,31,0,0,0,0.016522980296384056,0.43911007025761123,-0.7318501170960187,-0.005675981385907446,0.9367681498829039,0.43911007025761123,0,0,-3.3826496301277738,-0.16253769926755707,3110.0,1,2.624414519906323
2015/08/28,8194,l,-0.17307692307692307,-0.2607939727615184,1.506809620399884,1.7133364973896534,3,26,0,0,0,0.01799731243579892,0.34772529701535787,2.11532889017676,0.012036239345529824,1.3909011880614315,1.1011301072153,0,0,-2.2351864561885164,-0.10588490300205922,3300.0,1,2.3797932966289954
2015/09/02,8194,s,-1.0,-0.5846243788365975,0.5846243788365975,1.435240473347085,2,29,0,0,0,-0.016728238784213395,-0.8184741303712364,-1.0230926629640456,0.013077622032705538,0.8769365682548962,-1.0523238819058753,0,1,-1.5837479270315096,-0.07321213448691274,3385.0,0,1.787099288707006
2015/09/07,8194,s,-1.0,-0.5289605924358635,0.5289605924358635,1.2365320712919141,2,37,0,0,1,-0.006595039612953129,0.29092832583972494,1.7455699550383494,0.010503643035685878,1.4017455699550383,0.37027241470510447,0,1,-0.020715220235500337,-0.0010500718470211623,3615.0,0,1.04601957154192
2015/09/09,8194,l,1.7916666666666667,1.0523739598629467,0.5873715124816447,1.4405231272237715,3,33,0,0,1,0.018996297715968436,-0.8321096426823299,-0.6363191385217817,0.05700938105532493,1.3215859030837003,-1.1502692119432207,0,0,-0.8497146480659489,-0.04478110727414509,3430.0,1,0.671969326154348
