"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","5DMA","25DMA","75DMA","5DVMA","25DVMA","75DVMA"
"2021/11/10","217.0","217.0","211.0","213.0","-6.0","59,200","0","15,500","0.00","-","215.00","209.56","213.69","95,060","45,160","43,478"
"2021/11/09","224.0","225.0","217.0","219.0","-3.0","47,400","0","14,500","0.00","-","213.20","209.56","213.68","91,600","44,204","43,257"
"2021/11/08","220.0","232.0","216.0","222.0","+10.0","222,900","0","12,100","0.00","-","210.80","209.44","213.58","93,180","43,912","43,025"
"2021/11/05","211.0","216.0","208.0","212.0","+3.0","102,300","0","12,600","0.00","-","207.20","209.44","213.49","49,640","36,800","40,480"
"2021/11/04","205.0","212.0","205.0","209.0","+5.0","43,500","0","10,900","0.00","-","205.60","210.16","213.53","30,940","33,712","40,234"
"2021/11/02","203.0","207.0","202.0","204.0","-3.0","41,900","100","12,400","124.00","-","205.00","211.04","213.70","25,880","33,912","40,342"
"2021/11/01","215.0","215.0","205.0","207.0","+3.0","55,300","0","19,800","0.00","-","205.60","212.20","213.98","24,800","37,696","40,469"
"2021/10/29","204.0","206.0","203.0","204.0","0.0","5,200","0","12,400","0.00","-","205.40","213.32","214.24","17,180","38,916","40,010"
"2021/10/28","204.0","206.0","204.0","204.0","-2.0","8,800","0","12,400","0.00","-","206.40","214.32","214.53","19,400","41,840","40,504"
"2021/10/27","206.0","208.0","204.0","206.0","-1.0","18,200","0","12,400","0.00","-","207.20","215.08","214.86","21,600","43,744","40,901"
"2021/10/26","204.0","208.0","204.0","207.0","+1.0","36,500","0","12,400","0.00","-","208.20","215.60","215.26","21,680","44,728","41,109"
"2021/10/25","208.0","210.0","205.0","206.0","-3.0","17,200","0","12,400","0.00","-","209.60","216.36","215.64","17,480","45,008","41,633"
"2021/10/22","208.0","210.0","207.0","209.0","+1.0","16,300","0","12,400","0.00","-","210.80","217.12","216.04","38,480","46,056","41,609"
"2021/10/21","211.0","212.0","208.0","208.0","-3.0","19,800","0","10,900","0.00","-","212.80","217.64","216.44","64,580","45,952","41,766"
"2021/10/20","214.0","214.0","209.0","211.0","-3.0","18,600","0","22,800","0.00","-","212.60","218.20","216.81","63,640","46,092","41,956"
"2021/10/19","212.0","214.0","209.0","214.0","+2.0","15,500","0","19,300","0.00","-","211.40","218.60","217.17","64,260","46,292","42,001"
"2021/10/18","220.0","220.0","209.0","212.0","-7.0","122,200","0","20,300","0.00","-","210.80","218.88","217.46","63,920","47,100","42,292"
"2021/10/15","209.0","221.0","209.0","219.0","+12.0","146,800","600","14,900","24.83","-","209.60","219.24","217.80","43,580","43,052","41,394"
"2021/10/14","205.0","207.0","204.0","207.0","+2.0","15,100","0","16,500","0.00","-","207.20","219.36","218.00","17,360","39,740","39,668"
"2021/10/13","211.0","212.0","205.0","205.0","-6.0","21,700","0","16,500","0.00","-","207.00","219.96","218.34","18,800","40,296","39,994"
"2021/10/12","207.0","211.0","207.0","211.0","+5.0","13,800","500","16,200","32.40","-","208.20","220.56","218.78","18,920","40,616","40,324"
"2021/10/11","207.0","209.0","206.0","206.0","-1.0","20,500","500","16,500","33.00","-","208.60","220.80","219.16","23,220","42,740","40,602"
"2021/10/08","207.0","212.0","207.0","207.0","+1.0","15,700","600","16,500","27.50","-","210.60","221.16","219.54","27,140","45,556","41,105"
"2021/10/07","210.0","210.0","206.0","206.0","-5.0","22,300","600","16,500","27.50","-","213.60","221.44","220.02","33,020","46,148","41,521"
"2021/10/06","215.0","215.0","210.0","211.0","-2.0","22,300","600","16,500","27.50","-","218.40","221.56","220.58","33,580","46,536","42,184"
"2021/10/05","217.0","218.0","212.0","213.0","-3.0","35,300","600","16,300","27.17","-","222.40","221.36","221.01","38,820","50,040","42,460"
"2021/10/04","223.0","225.0","216.0","216.0","-6.0","40,100","600","16,300","27.17","-","226.40","221.04","221.45","59,060","49,036","42,402"
"2021/10/01","233.0","233.0","220.0","222.0","-8.0","45,100","600","15,600","26.00","-","230.20","220.56","221.88","68,200","47,904","43,884"
"2021/09/30","231.0","235.0","230.0","230.0","-1.0","25,100","600","14,200","23.67","-","231.60","219.76","222.22","74,840","46,676","43,729"
"2021/09/29","225.0","235.0","225.0","231.0","-2.0","48,500","600","13,200","22.00","-","230.20","218.68","222.56","81,100","46,828","44,045"
"2021/09/28","235.0","235.0","220.0","233.0","-2.0","136,500","100","58,500","585.00","-","227.80","217.28","222.81","79,960","47,160","44,178"
"2021/09/27","229.0","236.0","228.0","235.0","+6.0","85,800","100","23,000","230.00","-","226.40","215.64","222.98","61,360","45,712","42,830"
"2021/09/24","224.0","230.0","223.0","229.0","+6.0","78,300","100","31,900","319.00","-","224.40","214.36","223.08","52,880","43,712","42,176"
"2021/09/22","217.0","225.0","217.0","223.0","+4.0","56,400","0","15,400","0.00","-","223.00","213.32","223.22","39,960","42,484","41,912"
"2021/09/21","218.0","225.0","218.0","219.0","-7.0","42,800","0","15,400","0.00","-","222.80","212.60","223.52","33,340","41,608","41,572"
"2021/09/17","226.0","226.0","222.0","226.0","+1.0","43,500","100","17,400","174.00","-","223.20","212.20","223.80","29,500","41,824","41,693"
"2021/09/16","222.0","225.0","220.0","225.0","+3.0","43,400","100","17,400","174.00","-","222.20","212.16","224.02","27,940","41,768","42,018"
"2021/09/15","222.0","222.0","217.0","222.0","0.0","13,700","100","17,400","174.00","-","221.40","211.92","224.29","23,460","41,324","41,792"
"2021/09/14","222.0","222.0","219.0","222.0","+1.0","23,300","0","17,400","0.00","-","221.40","211.92","224.69","33,520","41,540","42,860"
"2021/09/13","221.0","221.0","219.0","221.0","0.0","23,600","0","17,400","0.00","-","221.40","211.76","224.97","34,660","44,444","42,857"
"2021/09/10","221.0","221.0","218.0","221.0","0.0","35,700","0","17,400","0.00","-","221.20","211.40","225.30","35,880","44,212","42,857"
"2021/09/09","223.0","223.0","218.0","221.0","-1.0","21,000","100","17,300","173.00","-","220.40","210.96","225.64","42,120","43,392","42,900"
"2021/09/08","224.0","224.0","214.0","222.0","0.0","64,000","100","17,300","173.00","-","219.20","210.48","226.02","56,100","43,396","42,984"
"2021/09/07","218.0","223.0","218.0","222.0","+2.0","29,000","100","17,300","173.00","-","217.60","210.04","226.34","49,400","42,360","42,586"
"2021/09/06","221.0","221.0","216.0","220.0","+3.0","29,700","100","17,300","173.00","-","215.00","209.64","226.72","50,000","42,476","42,428"
"2021/09/03","211.0","220.0","211.0","217.0","+2.0","66,900","100","17,300","173.00","-","212.20","209.32","227.09","66,040","43,252","43,126"
"2021/09/02","217.0","224.0","210.0","215.0","+1.0","90,900","100","17,300","173.00","-","209.80","209.24","227.52","54,700","41,100","42,613"
"2021/09/01","207.0","215.0","207.0","214.0","+5.0","30,500","200","17,300","86.50","-","207.60","209.24","227.88","38,880","38,652","42,289"
"2021/08/31","206.0","214.0","206.0","209.0","+3.0","32,000","100","17,300","173.00","-","205.20","209.36","228.36","35,660","37,948","46,466"
"2021/08/30","202.0","215.0","199.0","206.0","+1.0","109,900","100","17,300","173.00","-","204.00","209.68","228.65","35,040","38,508","48,049"
"2021/08/27","204.0","205.0","202.0","205.0","+1.0","10,200","200","17,300","86.50","-","202.00","210.16","229.16","24,420","35,236","48,786"
"2021/08/26","205.0","205.0","202.0","204.0","+2.0","11,800","200","17,400","87.00","-","199.40","210.44","229.76","42,440","36,532","49,610"
"2021/08/25","201.0","204.0","200.0","202.0","-1.0","14,400","200","17,400","87.00","-","199.20","210.76","230.44","47,240","37,260","50,593"
"2021/08/24","198.0","204.0","197.0","203.0","+7.0","28,900","300","17,400","58.00","-","199.40","211.28","231.22","53,880","37,964","51,489"
"2021/08/23","193.0","203.0","193.0","196.0","+4.0","56,800","200","17,500","87.50","-","199.80","211.76","231.93","55,000","40,164","51,946"
"2021/08/20","208.0","208.0","190.0","192.0","-11.0","100,300","200","22,300","111.50","-","202.40","212.80","232.60","53,280","39,956","51,878"
"2021/08/19","205.0","209.0","201.0","203.0","0.0","35,800","100","17,900","179.00","-","209.00","214.12","233.33","41,640","38,000","51,444"
"2021/08/18","204.0","210.0","201.0","203.0","-2.0","47,600","100","17,900","179.00","-","212.20","215.04","234.04","40,940","37,404","51,614"
"2021/08/17","211.0","211.0","204.0","205.0","-4.0","34,500","1,100","17,900","16.27","-","216.00","215.96","234.73","35,240","37,188","51,813"
"2021/08/16","221.0","222.0","209.0","209.0","-16.0","48,200","1,200","17,900","14.92","-","218.60","216.92","235.44","47,520","37,352","51,850"
"2021/08/13","217.0","227.0","217.0","225.0","+6.0","42,100","2,100","17,900","8.52","-","219.20","218.00","236.16","41,440","36,776","51,592"
"2021/08/12","211.0","221.0","211.0","219.0","-3.0","32,300","1,100","18,200","16.55","-","216.20","218.40","236.64","36,060","38,124","51,734"
"2021/08/11","219.0","222.0","218.0","222.0","+4.0","19,100","1,100","18,200","16.55","-","214.20","219.08","237.22","33,820","37,448","51,792"
"2021/08/10","210.0","225.0","210.0","218.0","+6.0","95,900","1,800","18,400","10.22","-","212.00","219.76","237.85","37,620","37,808","52,064"
"2021/08/06","209.0","213.0","208.0","212.0","+2.0","17,800","28,300","18,400","0.65","-","210.80","220.48","238.62","24,820","35,332","51,906"
"2021/08/05","210.0","211.0","208.0","210.0","+1.0","15,200","25,300","18,400","0.73","-","210.80","221.52","239.37","31,080","35,500","51,856"
"2021/08/04","215.0","215.0","209.0","209.0","-2.0","21,100","25,300","18,400","0.73","-","211.80","222.56","240.17","30,660","36,384","52,053"
"2021/08/03","212.0","214.0","210.0","211.0","-1.0","38,100","24,700","18,400","0.74","-","213.00","223.68","240.96","32,380","37,736","52,414"
