付け,始値,高値,安値,終値,出来高,前比%
2011/12/30,"8,434.90","8,455.35","8,415.56","8,455.35",57.63K,0.67%
2011/12/29,"8,367.71","8,404.89","8,330.87","8,398.89",66.32K,-0.29%
2011/12/28,"8,426.09","8,456.66","8,414.90","8,423.62",70.86K,-0.20%
2011/12/27,"8,443.00","8,458.26","8,428.53","8,440.56",51.35K,-0.46%
2011/12/26,"8,504.46","8,516.53","8,477.37","8,479.34",61.35K,1.00%
2011/12/22,"8,429.54","8,436.59","8,383.96","8,395.16",83.87K,-0.77%
2011/12/21,"8,442.74","8,471.11","8,440.89","8,459.98",90.77K,1.48%
2011/12/20,"8,318.03","8,354.90","8,317.73","8,336.48",80.02K,0.49%
2011/12/19,"8,363.39","8,364.93","8,272.26","8,296.12",94.96K,-1.26%
2011/12/16,"8,416.21","8,433.18","8,390.98","8,401.72",105.01K,0.29%
2011/12/15,"8,449.05","8,455.32","8,374.25","8,377.37",103.14K,-1.66%
2011/12/14,"8,513.77","8,540.57","8,486.37","8,519.13",98.32K,-0.39%
2011/12/13,"8,535.52","8,594.32","8,518.80","8,552.81",113.27K,-1.17%
2011/12/12,"8,652.98","8,682.47","8,633.35","8,653.82",101.00K,1.37%
2011/12/09,"8,521.33","8,576.68","8,503.03","8,536.46",199.72K,-1.48%
2011/12/08,"8,664.35","8,688.81","8,625.19","8,664.58",127.85K,-0.66%
2011/12/07,"8,629.19","8,729.81","8,614.21","8,722.17",132.59K,1.71%
2011/12/06,"8,644.97","8,671.54","8,571.09","8,575.16",107.83K,-1.39%
2011/12/05,"8,697.78","8,704.48","8,668.04","8,695.98",91.27K,0.60%
2011/12/02,"8,603.23","8,643.75","8,591.93","8,643.75",101.01K,0.54%
2011/12/01,"8,581.20","8,653.88","8,577.09","8,597.38",147.87K,1.93%
2011/11/30,"8,407.63","8,435.34","8,361.69","8,434.61",126.55K,-0.51%
2011/11/29,"8,371.01","8,477.82","8,351.38","8,477.82",115.89K,2.30%
2011/11/28,"8,269.91","8,322.01","8,259.71","8,287.49",102.31K,1.56%
2011/11/25,"8,138.19","8,199.67","8,135.79","8,160.01",111.37K,-0.06%
2011/11/24,"8,189.42","8,212.95","8,157.39","8,165.18",109.83K,-1.80%
2011/11/22,"8,263.86","8,350.35","8,261.01","8,314.74",112.21K,-0.40%
2011/11/21,"8,349.05","8,375.60","8,343.93","8,348.27",89.89K,-0.32%
2011/11/18,"8,374.16","8,398.80","8,359.60","8,374.91",108.60K,-1.23%
2011/11/17,"8,421.88","8,491.82","8,400.22","8,479.63",112.95K,0.19%
2011/11/16,"8,546.75","8,567.64","8,459.30","8,463.16",95.49K,-0.92%
2011/11/15,"8,546.99","8,584.30","8,527.63","8,541.93",80.20K,-0.72%
2011/11/14,"8,631.28","8,655.31","8,595.43","8,603.70",104.33K,1.05%
2011/11/11,"8,545.92","8,566.49","8,485.77","8,514.47",124.86K,0.16%
2011/11/10,"8,597.28","8,600.21","8,500.67","8,500.80",149.92K,-2.91%
2011/11/09,"8,724.60","8,762.98","8,678.78","8,755.44",137.44K,1.15%
2011/11/08,"8,744.36","8,772.04","8,644.00","8,655.51",136.41K,-1.27%
2011/11/07,"8,771.82","8,779.55","8,741.25","8,767.09",100.03K,-0.39%
2011/11/04,"8,761.27","8,814.71","8,729.08","8,801.40",124.97K,1.86%
2011/11/02,"8,719.92","8,719.92","8,640.42","8,640.42",129.17K,-2.21%
2011/11/01,"8,880.75","8,946.00","8,831.69","8,835.52",103.77K,-1.70%
2011/10/31,"9,011.18","9,152.39","8,988.39","8,988.39",133.84K,-0.69%
2011/10/28,"9,059.04","9,086.43","9,003.09","9,050.47",165.08K,1.39%
2011/10/27,"8,779.40","8,926.54","8,731.77","8,926.54",139.87K,2.04%
2011/10/26,"8,673.85","8,798.80","8,642.56","8,748.47",108.83K,-0.16%
2011/10/25,"8,866.43","8,870.37","8,755.38","8,762.31",106.71K,-0.92%
2011/10/24,"8,764.92","8,844.28","8,762.02","8,843.98",97.34K,1.90%
2011/10/21,"8,679.04","8,700.49","8,652.26","8,678.89",96.99K,-0.04%
2011/10/20,"8,733.60","8,733.60","8,672.21","8,682.15",109.21K,-1.03%
2011/10/19,"8,808.25","8,831.55","8,745.36","8,772.54",91.18K,0.35%
2011/10/18,"8,758.74","8,773.99","8,727.39","8,741.91",81.59K,-1.55%
2011/10/17,"8,881.44","8,911.70","8,856.58","8,879.60",95.93K,1.50%
2011/10/14,"8,782.91","8,787.89","8,733.71","8,747.96",108.30K,-0.85%
2011/10/13,"8,832.81","8,854.16","8,808.73","8,823.25",108.26K,0.97%
