"日付","始値","高値","安値","終値","前日比","5DMA","25DMA","75DMA"
"2017/12/29","22,831.49","22,881.21","22,753.20","22,764.94","-19.04","22,858.40","22,738.88","21,834.87"
"2017/12/28","22,912.05","22,954.45","22,736.43","22,783.98","-127.23","22,885.96","22,730.32","21,791.94"
"2017/12/27","22,854.39","22,936.16","22,854.39","22,911.21","+18.52","22,902.38","22,719.88","21,745.16"
"2017/12/26","22,922.95","22,950.15","22,877.63","22,892.69","-46.49","22,898.49","22,700.09","21,698.29"
"2017/12/25","22,909.41","22,948.83","22,870.19","22,939.18","+36.42","22,893.55","22,674.86","21,651.16"
"2017/12/22","22,850.73","22,908.84","22,801.16","22,902.76","+36.66","22,886.07","22,653.16","21,603.78"
"2017/12/21","22,852.01","22,894.95","22,728.06","22,866.10","-25.62","22,816.16","22,631.10","21,558.52"
"2017/12/20","22,834.93","22,923.50","22,806.73","22,891.72","+23.72","22,781.83","22,597.58","21,516.20"
"2017/12/19","22,961.47","22,990.42","22,862.82","22,868.00","-33.77","22,755.10","22,577.12","21,472.92"
"2017/12/18","22,770.44","22,927.50","22,735.20","22,901.77","+348.55","22,754.73","22,557.64","21,428.10"
"2017/12/15","22,621.36","22,745.09","22,478.32","22,553.22","-141.23","22,762.12","22,548.82","21,380.91"
"2017/12/14","22,699.30","22,786.61","22,638.76","22,694.45","-63.62","22,813.70","22,561.44","21,339.54"
"2017/12/13","22,879.27","22,879.37","22,697.32","22,758.07","-108.10","22,774.41","22,570.22","21,296.31"
"2017/12/12","22,936.41","22,994.33","22,834.89","22,866.17","-72.56","22,658.21","22,577.40","21,250.92"
"2017/12/11","22,894.30","22,938.73","22,787.40","22,938.73","+127.65","22,609.45","22,564.68","21,205.17"
"2017/12/08","22,627.95","22,819.71","22,625.41","22,811.08","+313.05","22,563.13","22,548.70","21,157.77"
"2017/12/07","22,317.15","22,515.24","22,317.15","22,498.03","+320.99","22,564.72","22,533.06","21,112.20"
"2017/12/06","22,525.38","22,528.21","22,119.21","22,177.04","-445.34","22,610.11","22,513.60","21,071.83"
"2017/12/05","22,595.33","22,682.71","22,522.28","22,622.38","-84.78","22,694.14","22,506.99","21,038.84"
"2017/12/04","22,843.53","22,864.33","22,693.99","22,707.16","-111.87","22,666.91","22,482.43","21,000.26"
"2017/12/01","22,916.93","22,994.31","22,675.07","22,819.03","+94.07","22,624.68","22,443.74","20,960.88"
"2017/11/30","22,601.83","22,748.32","22,502.68","22,724.96","+127.76","22,571.04","22,399.28","20,917.12"
"2017/11/29","22,613.96","22,643.93","22,537.12","22,597.20","+110.96","22,530.68","22,362.49","20,877.18"
"2017/11/28","22,474.74","22,580.99","22,363.94","22,486.24","-9.75","22,494.54","22,326.47","20,839.07"
"2017/11/27","22,657.08","22,659.33","22,423.40","22,495.99","-54.86","22,449.64","22,285.32","20,805.87"
"2017/11/24","22,390.14","22,567.20","22,381.01","22,550.85","+27.70","22,429.80","22,243.42","20,773.33"
"2017/11/22","22,601.55","22,677.34","22,513.44","22,523.15","+106.67","22,389.86","22,195.91","20,738.68"
"2017/11/21","22,456.79","22,563.25","22,416.48","22,416.48","+154.72","22,290.89","22,148.43","20,705.43"
"2017/11/20","22,279.98","22,410.24","22,215.07","22,261.76","-135.04","22,283.60","22,101.99","20,674.28"
"2017/11/17","22,603.30","22,757.40","22,319.12","22,396.80","+45.68","22,307.44","22,057.73","20,643.93"
"2017/11/16","21,975.23","22,392.13","21,972.34","22,351.12","+322.80","22,364.37","22,000.05","20,610.98"
"2017/11/15","22,250.98","22,305.24","22,004.79","22,028.32","-351.69","22,467.89","21,941.25","20,579.09"
"2017/11/14","22,342.93","22,532.30","22,323.24","22,380.01","-0.98","22,644.99","21,893.06","20,553.11"
"2017/11/13","22,607.56","22,607.92","22,380.99","22,380.99","-300.43","22,756.50","21,825.49","20,522.05"
"2017/11/10","22,580.70","22,724.39","22,511.93","22,681.42","-187.29","22,789.98","21,755.39","20,489.70"
