付け,始値,高値,安値,終値,出来高,前比%
2008/12/30,"8,716.28","8,859.56","8,702.95","8,859.56",-,1.28%
2008/12/29,"8,726.31","8,763.67","8,638.60","8,747.17",-,0.09%
2008/12/26,"8,642.14","8,740.76","8,611.36","8,739.52",-,1.63%
2008/12/25,"8,531.51","8,599.50","8,531.16","8,599.50",-,0.97%
2008/12/24,"8,630.25","8,631.83","8,476.69","8,517.10",-,-2.37%
2008/12/22,"8,602.50","8,751.18","8,593.76","8,723.78",-,1.57%
2008/12/19,"8,640.22","8,743.22","8,570.56","8,588.52",-,-0.91%
2008/12/18,"8,565.16","8,728.36","8,534.84","8,667.23",-,0.64%
2008/12/17,"8,658.22","8,741.24","8,425.66","8,612.52",-,0.52%
2008/12/16,"8,608.40","8,634.26","8,471.24","8,568.02",-,-1.12%
2008/12/15,"8,349.85","8,700.17","8,349.85","8,664.66",-,5.21%
2008/12/12,"8,599.12","8,610.73","8,087.99","8,235.87",-,-5.56%
2008/12/11,"8,642.26","8,720.55","8,519.11","8,720.55",-,0.70%
2008/12/10,"8,376.00","8,704.92","8,376.00","8,660.24",-,3.15%
2008/12/09,"8,362.37","8,499.60","8,314.85","8,395.87",-,0.80%
2008/12/08,"7,970.69","8,358.27","7,959.01","8,329.05",-,5.20%
2008/12/05,"7,975.05","8,024.33","7,908.65","7,917.51",-,-0.08%
2008/12/04,"8,030.20","8,107.69","7,849.84","7,924.24",-,-1.00%
2008/12/03,"7,965.31","8,056.38","7,889.82","8,004.10",-,1.79%
2008/12/02,"8,266.32","8,266.32","7,863.69","7,863.69",-,-6.35%
2008/12/01,"8,464.36","8,464.36","8,307.28","8,397.22",-,-1.35%
2008/11/28,"8,400.05","8,518.13","8,336.57","8,512.27",-,1.66%
2008/11/27,"8,311.24","8,458.68","8,300.49","8,373.39",-,1.95%
2008/11/26,"8,229.72","8,317.83","8,149.56","8,213.22",-,-1.33%
2008/11/25,"8,026.06","8,356.83","8,025.69","8,323.93",-,5.22%
2008/11/21,"7,600.35","7,994.68","7,406.18","7,910.79",-,2.70%
2008/11/20,"8,149.77","8,149.79","7,703.04","7,703.04",-,-6.89%
2008/11/19,"8,309.35","8,370.09","8,115.71","8,273.22",-,-0.66%
2008/11/18,"8,415.60","8,440.41","8,302.24","8,328.41",-,-2.28%
2008/11/17,"8,366.88","8,767.98","8,218.82","8,522.58",-,0.71%
2008/11/14,"8,378.13","8,689.85","8,378.13","8,462.39",-,2.72%
2008/11/13,"8,564.47","8,564.47","8,148.30","8,238.64",-,-5.25%
2008/11/12,"8,694.91","8,782.48","8,574.20","8,695.51",-,-1.29%
2008/11/11,"8,965.29","9,056.31","8,704.56","8,809.30",-,-3.00%
2008/11/10,"8,711.99","9,106.29","8,711.99","9,081.43",-,5.81%
2008/11/07,"8,774.49","8,868.10","8,266.09","8,583.00",-,-3.55%
2008/11/06,"9,373.65","9,380.30","8,806.71","8,899.14",-,-6.53%
2008/11/05,"9,224.05","9,521.24","9,216.30","9,521.24",-,4.46%
2008/11/04,"8,702.77","9,142.29","8,699.77","9,114.60",-,6.27%
2008/10/31,"8,958.22","9,012.31","8,576.98","8,576.98",-,-5.01%
2008/10/30,"8,269.71","9,030.85","8,269.71","9,029.76",-,9.96%
2008/10/29,"7,741.52","8,211.90","7,741.52","8,211.90",-,7.74%
2008/10/28,"7,143.34","7,626.42","6,994.90","7,621.92",-,6.41%
